PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
40079,-8.941338,-1.593733,-3.274301,0.360955,0.349360,-0.171307,-0.021276,0.000577,-0.058703,0.996582,-0.321533,0.261719,-0.089418,-0.015915,-0.032741,1.000000,-0.000106,0.000003,-0.000294,-0.391757,0.663543,-0.493325,-0.403569,-161.666956,67.234733,-61.012770,0.187525,-0.338482,-0.922098,-0.970886,-0.206315,-0.121713,-0.149045,0.918076,-0.367316
40080,-8.841526,-1.572198,-3.259728,0.351693,0.323158,-0.271090,-0.012867,-0.020195,-0.066532,0.996094,-0.323242,0.258789,-0.088417,-0.015695,-0.032605,1.000000,-0.000064,-0.000101,-0.000333,-0.391898,0.663691,-0.493038,-0.403538,-161.579429,67.233697,-60.909853,0.188141,-0.338159,-0.922091,-0.970742,-0.206658,-0.122280,-0.149207,0.918118,-0.367146
40081,-8.841203,-1.577981,-3.257808,0.347614,0.318228,-0.270774,-0.011801,-0.027620,-0.073377,0.992920,-0.328613,0.259766,-0.088413,-0.015749,-0.032589,1.000000,-0.000059,-0.000138,-0.000367,-0.392351,0.663825,-0.492528,-0.403501,-161.386587,67.249254,-60.708248,0.189207,-0.337276,-0.922196,-0.970533,-0.206953,-0.123435,-0.149220,0.918376,-0.366495
40082,-8.974072,-1.534056,-3.304315,0.280952,0.307171,-0.136298,0.002072,-0.041036,-0.075246,0.990723,-0.325439,0.260254,-0.089740,-0.015306,-0.033062,1.000000,0.000010,-0.000205,-0.000376,-0.392611,0.663924,-0.492202,-0.403484,-161.270025,67.257727,-60.583144,0.189876,-0.336744,-0.922253,-0.970393,-0.207188,-0.124136,-0.149278,0.918519,-0.366114
40083,-9.074486,-1.482117,-3.344499,0.206404,0.281873,-0.034826,0.007384,-0.059767,-0.082200,0.987061,-0.315430,0.259277,-0.090741,-0.014783,-0.033473,1.000000,0.000037,-0.000299,-0.000411,-0.393257,0.663979,-0.491616,-0.403478,-161.028144,67.289175,-60.342485,0.191038,-0.335503,-0.922465,-0.970187,-0.207325,-0.125516,-0.149139,0.918942,-0.365108
40084,-9.038605,-1.482817,-3.357831,0.209293,0.250138,-0.062622,0.009992,-0.072411,-0.087316,0.999756,-0.320313,0.245361,-0.090380,-0.014787,-0.033612,1.000000,0.000050,-0.000362,-0.000437,-0.393644,0.664028,-0.491204,-0.403523,-160.877018,67.312068,-60.184875,0.191777,-0.334657,-0.922619,-0.970034,-0.207526,-0.126358,-0.149181,0.919205,-0.364427
40085,-8.977506,-1.471865,-3.317658,0.192355,0.249825,-0.134391,0.020864,-0.076672,-0.093876,0.998535,-0.314697,0.260986,-0.089769,-0.014673,-0.033213,1.000000,0.000104,-0.000383,-0.000469,-0.394419,0.664043,-0.490558,-0.403525,-160.598147,67.351926,-59.913225,0.193040,-0.333188,-0.922887,-0.969820,-0.207573,-0.127917,-0.148946,0.919728,-0.363202
40086,-8.979675,-1.395032,-3.341841,0.113401,0.203897,-0.133114,0.025063,-0.066603,-0.091976,0.988281,-0.319336,0.253662,-0.089792,-0.013905,-0.033450,1.000000,0.000125,-0.000333,-0.000460,-0.394851,0.664085,-0.490172,-0.403504,-160.434142,67.370335,-59.751085,0.193832,-0.332384,-0.923011,-0.969679,-0.207648,-0.128857,-0.148832,0.920001,-0.362555
40087,-8.969359,-1.353187,-3.387244,0.068407,0.135889,-0.131221,0.023998,-0.058622,-0.093959,0.994385,-0.315186,0.254395,-0.089690,-0.013486,-0.033900,1.000000,0.000120,-0.000293,-0.000470,-0.395626,0.664122,-0.489559,-0.403428,-160.150421,67.400788,-59.479741,0.195155,-0.331040,-0.923216,-0.969467,-0.207624,-0.130484,-0.148486,0.920492,-0.361451
40088,-9.028475,-1.327875,-3.418843,0.028847,0.114695,-0.068401,0.032464,-0.038428,-0.090110,0.997314,-0.312256,0.258301,-0.090284,-0.013233,-0.034208,1.000000,0.000162,-0.000192,-0.000451,-0.396010,0.664200,-0.489249,-0.403298,-159.997164,67.403895,-59.333889,0.195972,-0.330499,-0.923236,-0.969339,-0.207623,-0.131433,-0.148246,0.920686,-0.361054
