PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
36356,-0.382113,-13.924704,-1.423910,-1.158676,-0.953777,4.109182,0.103501,0.426695,0.407126,0.366455,0.998047,-0.031738,-0.003568,-0.139247,-0.014303,0.999996,0.000518,0.002133,0.002036,0.690612,-0.719404,-0.070202,0.024179,-92.580769,-3.564684,7.739220,0.988974,0.134404,0.062175,0.067610,-0.036253,-0.997053,-0.131754,0.990263,-0.044941
36357,-1.226325,-13.264412,-2.085578,-1.799210,-1.738286,3.436424,-0.014683,0.388507,0.574587,0.378418,0.992920,-0.035400,-0.011923,-0.132680,-0.020823,0.999994,-0.000073,0.001943,0.002873,0.690543,-0.719776,-0.066737,0.024896,-92.586864,-3.229196,7.507859,0.989853,0.130455,0.056330,0.061688,-0.037394,-0.997395,-0.128008,0.990749,-0.045062
36358,-2.320027,-11.833094,-3.013309,-2.601325,-2.822675,2.008883,-0.253206,0.178026,0.767654,0.383545,0.996338,-0.032959,-0.022772,-0.118457,-0.029963,0.999991,-0.001266,0.000890,0.003838,0.689589,-0.720923,-0.063364,0.026849,-92.725297,-2.790165,7.385427,0.990528,0.128391,0.048678,0.054332,-0.040903,-0.997685,-0.126103,0.990880,-0.047491
36359,-2.078065,-10.532521,-3.668765,-2.115542,-3.435706,0.790674,-0.559910,-0.180058,0.943502,0.391113,0.975342,-0.018555,-0.020250,-0.105524,-0.036411,0.999985,-0.002800,-0.000900,0.004717,0.687363,-0.723133,-0.060524,0.030776,-93.050084,-2.217581,7.466111,0.990779,0.129842,0.038694,0.045226,-0.047737,-0.997836,-0.127714,0.990385,-0.053169
36360,-0.475493,-9.413812,-3.853519,-0.354434,-3.392504,-0.217923,-0.623496,-0.282420,1.054510,0.395752,0.981201,-0.023682,-0.004204,-0.094281,-0.038248,0.999980,-0.003117,-0.001412,0.005273,0.684848,-0.725538,-0.057750,0.035260,-93.411331,-1.600748,7.593660,0.990843,0.132095,0.027935,0.035504,-0.055297,-0.997839,-0.130265,0.989693,-0.059481
36361,-0.668935,-7.520562,-3.749831,-0.398416,-3.350670,-2.087347,-0.657600,-0.017271,1.163286,0.406738,0.981689,-0.015137,-0.006248,-0.075366,-0.037251,0.999978,-0.003288,-0.000086,0.005816,0.682150,-0.728181,-0.053644,0.039329,-93.799101,-0.911538,7.573562,0.991151,0.131782,0.015909,0.024468,-0.063588,-0.997676,-0.130464,0.989237,-0.066250
36362,-6.128848,-4.608509,-3.474175,-5.718015,-3.908421,-5.027515,-0.755718,0.629495,1.435670,0.424072,0.966797,-0.001465,-0.061064,-0.046654,-0.034374,0.999962,-0.003779,0.003147,0.007178,0.679259,-0.731240,-0.046389,0.041759,-94.228158,-0.111679,7.156088,0.992209,0.124573,0.001949,0.011113,-0.072912,-0.997276,-0.124091,0.989528,-0.073728
36363,-13.367113,-1.317420,-2.340227,-12.995884,-3.800525,-8.216864,-0.905593,1.072988,1.900073,0.443848,0.956543,0.007324,-0.133660,-0.014548,-0.022621,0.999930,-0.004528,0.005365,0.009500,0.675647,-0.735014,-0.035967,0.044293,-94.766126,0.946001,6.473274,0.993489,0.112724,-0.016510,-0.006981,-0.084414,-0.996406,-0.113713,0.990034,-0.083077
36364,-13.630284,-0.893388,0.494884,-13.585402,-0.867129,-8.587371,-1.055582,1.239203,2.384947,0.465576,0.943115,0.025879,-0.136149,-0.010529,0.005846,0.999896,-0.005278,0.006196,0.011924,0.671392,-0.739206,-0.023218,0.047629,-95.393864,2.248801,5.644578,0.994385,0.098281,-0.039239,-0.029630,-0.097388,-0.994805,-0.101592,0.990382,-0.093929
36365,-11.800495,-4.132307,0.346367,-11.589429,-0.276177,-5.117812,-1.116627,1.636116,2.766054,0.493652,0.928467,0.040527,-0.117384,-0.042926,0.004662,0.999855,-0.005583,0.008180,0.013830,0.666583,-0.743637,-0.007626,0.051115,-96.104397,3.775940,4.568947,0.994658,0.079486,-0.065855,-0.056802,-0.111219,-0.992171,-0.086188,0.990612,-0.106110
36366,-20.494648,-4.186690,-0.081009,-20.063524,-1.012847,-3.986699,-1.173091,1.592628,3.341930,0.520264,0.922119,0.061768,-0.204205,-0.045281,0.001077,0.999811,-0.005865,0.007963,0.016709,0.661301,-0.747940,0.009837,0.056305,-96.868324,5.580052,3.441984,0.993466,0.059753,-0.097236,-0.089185,-0.125168,-0.988119,-0.071214,0.990335,-0.119021
36367,-21.637941,-5.973350,0.179635,-20.821693,-0.159150,-1.429656,-1.390671,1.040053,3.860623,0.547119,0.895020,0.086914,-0.215158,-0.063875,0.003352,0.999776,-0.006953,0.005200,0.019302,0.654693,-0.752529,0.027529,0.065719,-97.779149,7.756101,2.580953,0.989846,0.044619,-0.134956,-0.127484,-0.141239,-0.981733,-0.062865,0.988970,-0.134117
36368,-19.973280,-7.836904,0.821461,-18.603376,1.225397,0.834488,-1.475100,0.726206,4.269924,0.587646,0.870361,0.100830,-0.197967,-0.082541,0.009534,0.999738,-0.007375,0.003631,0.021348,0.647467,-0.756809,0.045508,0.077177,-98.744380,10.122095,1.807885,0.983945,0.031057,-0.175746,-0.168821,-0.157431,-0.972993,-0.057886,0.987042,-0.149660
36369,-19.494241,-8.867074,0.828343,-17.442003,1.786692,2.509522,-1.545946,0.366078,4.634395,0.622314,0.839111,0.109375,-0.192803,-0.093086,0.009346,0.999700,-0.007729,0.001830,0.023170,0.639328,-0.760781,0.063811,0.091657,-99.783248,12.771000,1.181251,0.975054,0.020105,-0.221055,-0.214291,-0.174376,-0.961079,-0.057869,0.984474,-0.165718
36370,-19.092896,-10.025852,-0.051349,-16.118937,1.478235,4.433583,-1.637257,-0.064232,4.962889,0.671387,0.805176,0.118652,-0.188363,-0.104954,0.000272,0.999659,-0.008185,-0.000321,0.024812,0.630625,-0.764137,0.081740,0.108283,-100.840961,15.579803,0.693028,0.963187,0.011651,-0.268580,-0.261493,-0.191260,-0.946066,-0.062391,0.981470,-0.181173
36371,-17.633866,-11.266988,-0.561083,-13.571591,1.542419,6.047404,-1.645392,-0.425529,5.254517,0.708252,0.769043,0.128174,-0.173286,-0.117293,-0.005029,0.999619,-0.008226,-0.002127,0.026269,0.621318,-0.766596,0.099831,0.127782,-101.894367,18.660979,0.346294,0.947411,0.005726,-0.319968,-0.311846,-0.207997,-0.927086,-0.071861,0.978113,-0.195273
36372,-15.921270,-12.713139,-0.772763,-10.590514,1.945000,7.497943,-1.563040,-0.582778,5.502898,0.747314,0.717285,0.139893,-0.155613,-0.131504,-0.007168,0.999587,-0.007814,-0.002913,0.027511,0.611842,-0.768010,0.118100,0.147862,-102.919772,21.816614,-0.028865,0.928378,-0.000468,-0.371637,-0.362341,-0.223404,-0.904875,-0.082602,0.974726,-0.207573
36373,-14.684361,-13.813537,-0.741402,-8.018494,2.509289,8.525475,-1.396809,-0.650675,5.700824,0.782471,0.667969,0.142578,-0.142804,-0.142294,-0.006899,0.999564,-0.006983,-0.003253,0.028500,0.602237,-0.767998,0.137214,0.169300,-103.892059,25.170570,-0.433158,0.905020,-0.006842,-0.425314,-0.414677,-0.236965,-0.878573,-0.094773,0.971494,-0.217296
36374,-13.566408,-14.691551,-0.794854,-5.551238,2.938581,9.186040,-1.212060,-0.650927,5.875906,0.828857,0.632568,0.143555,-0.131245,-0.150861,-0.007474,0.999545,-0.006059,-0.003254,0.029375,0.592777,-0.766707,0.156756,0.190270,-104.826734,28.529144,-0.964900,0.878450,-0.014795,-0.477606,-0.465947,-0.248086,-0.849321,-0.105921,0.968625,-0.224824
36375,-12.256030,-15.761959,-0.573957,-2.745232,3.660243,9.627547,-1.013539,-0.585315,6.029220,0.860596,0.565186,0.138916,-0.117719,-0.161245,-0.005278,0.999529,-0.005067,-0.002926,0.030141,0.583189,-0.763917,0.177371,0.211805,-105.747115,32.038165,-1.618858,0.847357,-0.023948,-0.530484,-0.518038,-0.256860,-0.815880,-0.116721,0.966152,-0.230058
36376,-10.811291,-16.937039,-0.745559,0.312592,4.000110,9.886935,-0.782308,-0.485040,6.158936,0.892822,0.514648,0.134521,-0.102813,-0.172619,-0.007038,0.999515,-0.003911,-0.002425,0.030790,0.573821,-0.759842,0.198593,0.232230,-106.676390,35.508890,-2.484060,0.813260,-0.035281,-0.580829,-0.568315,-0.262581,-0.779788,-0.125003,0.964265,-0.233597
36377,-9.587049,-18.144825,-1.029636,3.300523,4.187300,10.027723,-0.537982,-0.398261,6.222789,0.930176,0.449951,0.134277,-0.090144,-0.184340,-0.009986,0.999510,-0.002689,-0.001991,0.031109,0.564609,-0.754066,0.220630,0.252829,-107.590386,39.082550,-3.488966,0.774800,-0.047239,-0.630439,-0.618238,-0.265078,-0.739943,-0.132161,0.963069,-0.234587
36378,-8.241249,-20.098912,-1.053796,6.819708,4.752539,10.280750,-0.286222,-0.336057,6.229647,0.951172,0.395752,0.133301,-0.076083,-0.203440,-0.010379,0.999512,-0.001431,-0.001680,0.031143,0.555744,-0.747198,0.242725,0.271897,-108.553240,42.540284,-4.711220,0.734313,-0.060516,-0.676108,-0.664938,-0.264465,-0.698509,-0.136536,0.962495,-0.234440
36379,-7.320151,-21.978926,-1.440696,10.109976,4.866693,10.501530,0.012396,-0.271082,6.143655,0.968994,0.319824,0.135498,-0.066386,-0.221898,-0.014514,0.999527,0.000062,-0.001355,0.030713,0.547413,-0.738640,0.265068,0.290671,-109.492082,46.021927,-6.063289,0.690499,-0.073346,-0.719606,-0.709814,-0.260156,-0.654586,-0.139199,0.962777,-0.231699
36380,-7.153982,-22.697553,-2.450848,12.129803,4.028707,10.406933,0.272106,-0.378449,5.950482,0.981934,0.267578,0.129883,-0.064700,-0.228935,-0.024946,0.999555,0.001360,-0.001892,0.029748,0.540020,-0.729115,0.286312,0.307888,-110.389700,49.305717,-7.488609,0.646462,-0.084978,-0.758199,-0.750040,-0.252808,-0.611170,-0.139743,0.963777,-0.227167
36381,-6.030462,-22.062078,-3.889029,13.754731,2.262531,8.728328,0.451755,-0.599090,5.665827,0.986572,0.201416,0.125977,-0.053908,-0.222120,-0.039559,0.999592,0.002258,-0.002995,0.028325,0.533347,-0.718315,0.306207,0.325272,-111.160011,52.553786,-8.792626,0.600871,-0.092941,-0.793924,-0.786872,-0.243556,-0.567021,-0.140666,0.965424,-0.219478
36382,-4.162583,-20.443645,-5.649395,14.796790,-0.188396,5.938313,0.551333,-0.759100,5.310035,1.006104,0.150879,0.120117,-0.035966,-0.205284,-0.057203,0.999637,0.002756,-0.003795,0.026547,0.527651,-0.707203,0.324066,0.341219,-111.824537,55.548863,-10.003992,0.557102,-0.098272,-0.824609,-0.818449,-0.233132,-0.525157,-0.140634,0.967467,-0.210309
36383,-4.505402,-19.240224,-6.260812,14.493393,-1.238572,4.952143,0.634962,-0.870096,4.963772,1.009033,0.092529,0.112793,-0.039990,-0.193236,-0.063402,0.999678,0.003174,-0.004350,0.024816,0.522537,-0.695545,0.340602,0.356599,-112.410408,58.431505,-11.138673,0.513656,-0.101135,-0.852015,-0.846480,-0.221892,-0.483980,-0.140108,0.969812,-0.199585
36384,-2.220768,-17.665135,-7.312232,15.085008,-3.043388,1.744773,0.587723,-0.779987,4.538868,1.012207,0.039795,0.110352,-0.017908,-0.176874,-0.073717,0.999731,0.002938,-0.003900,0.022692,0.517665,-0.684684,0.355331,0.370096,-113.092222,61.007387,-12.318497,0.473538,-0.103408,-0.874682,-0.869750,-0.211525,-0.445860,-0.138911,0.971887,-0.190104
36385,-0.929685,-15.890021,-7.306411,14.568134,-3.734384,-0.839286,0.576889,-0.742603,4.117071,1.002197,-0.006348,0.106445,-0.005754,-0.158831,-0.073548,0.999777,0.002884,-0.003713,0.020584,0.513174,-0.674128,0.368799,0.382348,-113.817468,63.382815,-13.529475,0.435594,-0.104814,-0.894020,-0.889659,-0.201278,-0.409872,-0.136986,0.973910,-0.180924
36386,-0.109921,-13.793297,-7.102526,13.303147,-4.185698,-3.015987,0.379487,-0.436315,3.649129,1.003418,-0.044922,0.115479,0.001571,-0.137785,-0.071285,0.999829,0.001897,-0.002181,0.018245,0.508183,-0.665457,0.380669,0.392439,-114.927684,65.395262,-15.002126,0.402165,-0.107776,-0.909202,-0.905499,-0.193683,-0.377568,-0.135404,0.975126,-0.175483
36387,-0.215686,-12.047099,-6.750735,11.812177,-4.266965,-4.067782,0.219180,-0.095253,3.230072,0.988281,-0.078857,0.114258,-0.000180,-0.120410,-0.067640,0.999869,0.001096,-0.000476,0.016150,0.502677,-0.658293,0.391847,0.400528,-116.541700,67.113055,-16.925998,0.372067,-0.113227,-0.921274,-0.918572,-0.187543,-0.347926,-0.133384,0.975709,-0.173786
36388,-1.539660,-10.230697,-6.006686,9.695889,-3.780516,-3.912791,0.048442,0.261053,2.882801,0.989014,-0.113281,0.130859,-0.013998,-0.102501,-0.060073,0.999895,0.000242,0.001305,0.014414,0.496487,-0.652955,0.402074,0.406800,-118.721245,68.511890,-19.310141,0.345701,-0.121131,-0.930494,-0.929015,-0.183674,-0.321241,-0.131995,0.975495,-0.176029
36389,-3.066205,-8.843182,-4.985166,7.885916,-2.859408,-3.325205,-0.175067,0.519869,2.553116,0.982666,-0.146484,0.147217,-0.029659,-0.088858,-0.049696,0.999915,-0.000875,0.002599,0.012765,0.489634,-0.649121,0.411566,0.411720,-121.448339,69.643488,-22.145115,0.322200,-0.131127,-0.937546,-0.937497,-0.181743,-0.296764,-0.131479,0.974564,-0.181489
36390,-4.039530,-7.474585,-3.727912,6.265096,-1.720311,-3.189189,-0.365866,0.591427,2.260107,0.982910,-0.171387,0.154785,-0.039656,-0.075265,-0.037024,0.999930,-0.001829,0.002957,0.011300,0.482530,-0.646516,0.419594,0.416080,-124.393393,70.551001,-25.054673,0.301637,-0.141006,-0.942938,-0.944091,-0.182211,-0.274758,-0.133071,0.973096,-0.188084
36391,-4.507398,-6.727256,-2.259257,5.355670,-0.310713,-3.340077,-0.499838,0.537215,2.023208,0.982666,-0.197021,0.169922,-0.044450,-0.067780,-0.022304,0.999942,-0.002499,0.002686,0.010116,0.475587,-0.644421,0.426643,0.420135,-127.408087,71.316092,-27.971764,0.282924,-0.150254,-0.947300,-0.949498,-0.183586,-0.254461,-0.135677,0.971452,-0.194607
36392,-4.416322,-6.381898,-0.906844,4.985534,0.977802,-3.876241,-0.540980,0.351629,1.806476,0.969482,-0.219482,0.181885,-0.043600,-0.064239,-0.008818,0.999954,-0.002705,0.001758,0.009032,0.469264,-0.642541,0.432171,0.424454,-130.154952,72.001064,-30.539534,0.266135,-0.157013,-0.951062,-0.953736,-0.186040,-0.236169,-0.139854,0.969916,-0.199260
36393,-4.076034,-6.003970,-0.138870,4.701915,1.639409,-4.532147,-0.509901,0.137433,1.584814,0.963623,-0.244385,0.182373,-0.040284,-0.060363,-0.001207,0.999965,-0.002549,0.000687,0.007924,0.463874,-0.640595,0.436507,0.428859,-132.541255,72.634243,-32.729776,0.251082,-0.161376,-0.954419,-0.957122,-0.188565,-0.219910,-0.144482,0.968711,-0.201802
36394,-4.310420,-5.412002,0.102547,4.118849,1.824264,-4.560415,-0.414146,-0.075929,1.376025,0.962158,-0.254639,0.199707,-0.042731,-0.054413,0.001122,0.999974,-0.002071,-0.000380,0.006880,0.459737,-0.638350,0.439866,0.433207,-134.452978,73.240092,-34.481796,0.237698,-0.163254,-0.957522,-0.959900,-0.190320,-0.205840,-0.148631,0.968053,-0.201947
36395,-4.654587,-4.548949,0.072128,3.282175,1.697776,-4.454731,-0.355799,-0.307946,1.202601,0.953125,-0.277344,0.201172,-0.046272,-0.045767,0.000731,0.999979,-0.001779,-0.001540,0.006013,0.456622,-0.635854,0.442229,0.437744,-135.907488,73.851769,-35.781742,0.225628,-0.162618,-0.960545,-0.962153,-0.191861,-0.193523,-0.152821,0.967856,-0.199753
36396,-4.886895,-3.568387,-0.304573,2.407956,1.179328,-4.379599,-0.304939,-0.522638,1.052986,0.958984,-0.293701,0.206787,-0.048672,-0.035945,-0.003118,0.999982,-0.001525,-0.002613,0.005265,0.454481,-0.633043,0.443734,0.442497,-136.905646,74.488438,-36.638150,0.214594,-0.159593,-0.963577,-0.964018,-0.193094,-0.182711,-0.156902,0.968114,-0.195287
36397,-4.797763,-2.908626,-0.758474,1.921137,0.582683,-4.518983,-0.281098,-0.711820,0.932475,0.966797,-0.306885,0.202393,-0.047814,-0.029320,-0.007714,0.999982,-0.001405,-0.003559,0.004662,0.453081,-0.630034,0.444446,0.447485,-137.499036,75.150292,-37.084651,0.204450,-0.154538,-0.966601,-0.965526,-0.194372,-0.173146,-0.161123,0.968678,-0.188950
36398,-4.324873,-2.842336,-1.183621,2.075824,0.060622,-4.926857,-0.262821,-0.883186,0.839423,0.965576,-0.323486,0.206543,-0.043076,-0.028620,-0.011989,0.999981,-0.001314,-0.004416,0.004197,0.452314,-0.626753,0.444519,0.452765,-137.715849,75.851978,-37.153573,0.194814,-0.147623,-0.969667,-0.966791,-0.195630,-0.164453,-0.165419,0.969503,-0.180832
36399,-3.727737,-2.731517,-1.410739,2.169031,-0.295804,-5.505142,-0.250635,-0.937620,0.781767,0.956787,-0.328369,0.200195,-0.037104,-0.027478,-0.014247,0.999981,-0.001253,-0.004688,0.003909,0.451825,-0.623457,0.444276,0.458011,-137.742396,76.549348,-37.032394,0.185690,-0.140092,-0.972571,-0.967856,-0.196947,-0.156421,-0.169632,0.970354,-0.172160
36400,-3.251348,-2.716136,-1.475483,2.293916,-0.451595,-5.983912,-0.233804,-0.875971,0.757294,0.960205,-0.339600,0.197510,-0.032345,-0.027301,-0.014865,0.999983,-0.001169,-0.004380,0.003786,0.451285,-0.620263,0.444140,0.462984,-137.821437,77.216297,-36.976518,0.176770,-0.133092,-0.975212,-0.968844,-0.198162,-0.148571,-0.173477,0.971091,-0.163974
36401,-3.274019,-2.551439,-1.295497,2.135179,-0.325205,-6.038771,-0.221152,-0.771194,0.758529,0.967529,-0.351318,0.204346,-0.032593,-0.025653,-0.013053,0.999985,-0.001106,-0.003856,0.003793,0.450543,-0.617303,0.444230,0.467555,-138.070693,77.832544,-37.101277,0.168104,-0.127142,-0.977536,-0.969757,-0.199340,-0.140839,-0.176955,0.971647,-0.156806
36402,-3.402455,-2.315243,-1.306229,1.921984,-0.381949,-5.965190,-0.205292,-0.630210,0.766519,0.973389,-0.349609,0.201416,-0.033894,-0.023296,-0.013145,0.999987,-0.001026,-0.003151,0.003833,0.449497,-0.614558,0.444717,0.471697,-138.622235,78.397892,-37.545206,0.159458,-0.122556,-0.979568,-0.970661,-0.200359,-0.132940,-0.179973,0.972027,-0.150909
36403,-3.758417,-2.115942,-1.452533,1.733906,-0.532307,-5.638620,-0.190101,-0.487401,0.770574,0.959961,-0.374023,0.198975,-0.037467,-0.021318,-0.014597,0.999989,-0.000950,-0.002437,0.003853,0.448172,-0.612143,0.445527,0.475319,-139.478651,78.893922,-38.306767,0.151154,-0.119403,-0.981272,-0.971502,-0.201296,-0.125155,-0.182582,0.972226,-0.146427
36404,-3.983587,-1.997923,-1.538968,1.638215,-0.621177,-5.435548,-0.191034,-0.347814,0.750103,0.959229,-0.377441,0.205566,-0.039734,-0.020143,-0.015440,0.999991,-0.000955,-0.001739,0.003751,0.446560,-0.610045,0.446611,0.478506,-140.653151,79.326182,-39.391845,0.143141,-0.117543,-0.982698,-0.972269,-0.202246,-0.117430,-0.184943,0.972255,-0.143233
36405,-4.146367,-1.908907,-1.363848,1.530925,-0.451793,-5.323989,-0.178258,-0.170744,0.709983,0.963135,-0.391846,0.205078,-0.041384,-0.019248,-0.013657,0.999993,-0.000891,-0.000854,0.003550,0.444693,-0.608481,0.447952,0.480976,-142.134854,79.651087,-40.793735,0.136001,-0.117367,-0.983732,-0.972914,-0.203174,-0.110265,-0.186927,0.972083,-0.141820
