PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
54948,9.851942,0.679359,-0.707072,-0.891801,0.024743,0.047622,-0.099341,-0.042498,-0.856304,-0.736084,0.437012,0.006104,0.098549,0.006368,-0.007053,0.999991,-0.000497,-0.000212,-0.004282,0.454948,-0.457652,-0.574963,-0.502985,116.300053,-79.590459,157.686317,-0.167153,0.068601,0.983541,0.983931,0.075121,0.161980,-0.062773,0.994812,-0.080056
54949,9.818713,0.845656,-0.680915,-0.808340,0.058850,0.032537,-0.080174,-0.047094,-0.841616,-0.746826,0.437744,0.001221,0.098223,0.008041,-0.006789,0.999991,-0.000401,-0.000235,-0.004208,0.452510,-0.455532,-0.576788,-0.505016,115.267536,-79.144801,158.690070,-0.175451,0.068441,0.982106,0.982540,0.074899,0.170309,-0.061903,0.994840,-0.080387
54950,9.834038,0.945602,-0.731276,-0.792189,0.015651,0.061970,-0.065996,-0.048706,-0.829581,-0.732666,0.430420,0.010498,0.098380,0.009046,-0.007292,0.999991,-0.000330,-0.000244,-0.004148,0.450130,-0.453416,-0.578608,-0.506961,114.343529,-78.703412,159.593146,-0.183594,0.068303,0.980626,0.981097,0.074809,0.178471,-0.061169,0.994856,-0.080746
54951,9.841837,0.928303,-0.752126,-0.890155,-0.006920,0.061331,-0.056074,-0.053027,-0.802749,-0.744385,0.423584,0.010254,0.098457,0.008886,-0.007498,0.999992,-0.000280,-0.000265,-0.004014,0.447814,-0.451354,-0.580398,-0.508803,113.533178,-78.271353,160.387323,-0.191483,0.068232,0.979121,0.979628,0.074798,0.186370,-0.060519,0.994862,-0.081164
54952,9.858344,0.839628,-0.718641,-1.060014,0.019960,0.050570,-0.038572,-0.045866,-0.774793,-0.731934,0.418457,0.008545,0.098617,0.008013,-0.007165,0.999992,-0.000193,-0.000229,-0.003874,0.445629,-0.449314,-0.582138,-0.510535,112.801860,-77.854689,161.112280,-0.199063,0.068107,0.977617,0.978145,0.074941,0.193950,-0.060054,0.994859,-0.081536
54953,9.840151,0.910796,-0.781495,-1.058247,-0.039398,0.043628,-0.010552,-0.044954,-0.753366,-0.731689,0.410889,0.006104,0.098437,0.008737,-0.007793,0.999993,-0.000053,-0.000225,-0.003767,0.443554,-0.447262,-0.583896,-0.512135,112.152864,-77.447060,161.770480,-0.206433,0.067990,0.976096,0.976628,0.075348,0.201298,-0.059860,0.994837,-0.081955
54954,9.799757,0.976056,-0.779335,-1.058620,-0.035409,0.009376,0.014092,-0.049879,-0.724289,-0.741699,0.402588,0.005371,0.098034,0.009406,-0.007768,0.999993,0.000070,-0.000249,-0.003621,0.441592,-0.445250,-0.585650,-0.513579,111.597109,-77.053120,162.348629,-0.213499,0.067937,0.974578,0.975105,0.075979,0.208318,-0.059895,0.994792,-0.082467
54955,9.816030,1.121878,-0.845429,-0.985550,-0.088876,0.053831,0.018790,-0.045766,-0.698804,-0.731689,0.399170,0.003418,0.098201,0.010877,-0.008431,0.999994,0.000094,-0.000229,-0.003494,0.439710,-0.443285,-0.587346,-0.514955,111.090696,-76.672177,162.879781,-0.220308,0.067861,0.973067,0.973585,0.076640,0.215080,-0.059980,0.994747,-0.082952
54956,9.754392,1.260353,-0.937140,-0.898701,-0.173553,0.024830,0.010201,-0.047046,-0.672522,-0.733398,0.385986,-0.002686,0.097588,0.012276,-0.009348,0.999994,0.000051,-0.000235,-0.003363,0.437870,-0.441414,-0.588955,-0.516290,110.632336,-76.304337,163.357266,-0.226846,0.067810,0.971567,0.972082,0.077196,0.221579,-0.059976,0.994707,-0.083429
54957,9.757646,1.402291,-0.878846,-0.829387,-0.104261,0.048922,-0.011902,-0.044779,-0.643922,-0.726318,0.383545,0.001953,0.097623,0.013708,-0.008767,0.999995,-0.000060,-0.000224,-0.003220,0.436057,-0.439667,-0.590433,-0.517625,110.204662,-75.951539,163.790893,-0.233093,0.067760,0.970091,0.970616,0.077514,0.227805,-0.059760,0.994686,-0.083837
54958,9.769048,1.351740,-0.918628,-0.940722,-0.147053,0.046242,-0.028744,-0.045464,-0.617490,-0.729248,0.378418,0.004395,0.097734,0.013214,-0.009166,0.999995,-0.000144,-0.000227,-0.003087,0.434270,-0.438031,-0.591805,-0.518947,109.808882,-75.612015,164.182258,-0.239077,0.067732,0.968635,0.969183,0.077646,0.233783,-0.059376,0.994678,-0.084208
54959,9.727615,1.460299,-0.930578,-0.884046,-0.153316,0.027009,-0.037603,-0.045580,-0.587177,-0.736084,0.375488,-0.005127,0.097321,0.014316,-0.009286,0.999996,-0.000188,-0.000228,-0.002936,0.432538,-0.436504,-0.593081,-0.520221,109.449969,-75.288641,164.530981,-0.244750,0.067733,0.967217,0.967795,0.077669,0.239457,-0.058904,0.994676,-0.084561
54960,9.686275,1.465033,-0.893394,-0.927824,-0.118836,-0.020182,-0.043350,-0.043169,-0.559918,-0.732422,0.375488,0.000977,0.096905,0.014377,-0.008916,0.999996,-0.000217,-0.000216,-0.002800,0.430868,-0.435056,-0.594274,-0.521458,109.115618,-74.979500,164.851281,-0.250159,0.067726,0.965833,0.966443,0.077616,0.244874,-0.058380,0.994680,-0.084870
54961,9.688278,1.581129,-0.852963,-0.871946,-0.069721,0.001835,-0.051182,-0.039541,-0.533316,-0.731934,0.370117,0.002197,0.096926,0.015551,-0.008514,0.999996,-0.000256,-0.000198,-0.002667,0.429260,-0.433697,-0.595374,-0.522659,108.802729,-74.685787,165.145309,-0.255285,0.067710,0.964492,0.965137,0.077469,0.250018,-0.057790,0.994693,-0.085126
54962,9.689890,1.679714,-0.831459,-0.829787,-0.040849,0.021757,-0.045855,-0.041088,-0.510926,-0.728516,0.367432,-0.000244,0.096943,0.016548,-0.008298,0.999997,-0.000229,-0.000205,-0.002555,0.427712,-0.432389,-0.596441,-0.523795,108.519861,-74.402751,165.411600,-0.260205,0.067722,0.963175,0.963855,0.077358,0.254950,-0.057244,0.994701,-0.085403
