PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
53031,-0.304181,-8.963440,0.679343,0.095862,-0.010559,-0.818917,-0.231798,0.013013,0.266273,0.040527,1.275391,0.067383,-0.002922,-0.089630,0.006898,0.999998,-0.001159,0.000065,0.001331,0.731570,-0.679141,-0.020807,0.056029,-85.598329,2.617079,6.335807,0.992856,0.110240,-0.045661,-0.053718,0.071255,-0.996011,-0.106547,0.991347,0.076668
53032,-0.290238,-9.185815,0.743736,0.134253,0.062763,-0.593440,-0.237495,-0.008988,0.256437,0.050049,1.263428,0.080078,-0.002785,-0.091853,0.007546,0.999998,-0.001187,-0.000045,0.001282,0.730687,-0.680038,-0.020115,0.056919,-85.734829,2.752328,6.353713,0.992711,0.110538,-0.048019,-0.055822,0.068616,-0.996080,-0.106810,0.991500,0.074287
53033,-0.345689,-9.216955,0.741881,0.101637,0.076773,-0.560345,-0.233861,-0.039215,0.237262,0.051758,1.266846,0.078369,-0.003349,-0.092165,0.007526,0.999999,-0.001169,-0.000196,0.001186,0.729814,-0.680908,-0.019508,0.057924,-85.867711,2.889382,6.387654,0.992529,0.111113,-0.050408,-0.057982,0.066019,-0.996132,-0.107356,0.991613,0.071968
53034,-0.311694,-8.931577,0.765107,0.132370,0.146339,-0.845157,-0.250273,-0.067496,0.217484,0.051758,1.263184,0.080566,-0.003022,-0.089309,0.007762,0.999999,-0.001251,-0.000337,0.001087,0.728889,-0.681827,-0.019164,0.058870,-86.009801,3.000315,6.436744,0.992334,0.111953,-0.052341,-0.059686,0.063294,-0.996209,-0.108215,0.991696,0.069490
53035,-0.321186,-8.880108,0.715172,0.140577,0.123930,-0.900014,-0.269453,-0.064208,0.186707,0.059570,1.267334,0.080078,-0.003131,-0.088794,0.007270,0.999999,-0.001347,-0.000321,0.000934,0.727903,-0.682810,-0.018830,0.059772,-86.162319,3.107652,6.482336,0.992146,0.112731,-0.054212,-0.061301,0.060396,-0.996290,-0.109039,0.991788,0.066832
53036,-0.364619,-8.805955,0.698854,0.105065,0.131578,-0.973130,-0.249296,-0.058229,0.153820,0.056885,1.260986,0.086670,-0.003581,-0.088054,0.007097,0.999999,-0.001246,-0.000291,0.000769,0.726998,-0.683718,-0.018668,0.060455,-86.304042,3.182988,6.523073,0.991993,0.113428,-0.055525,-0.062374,0.057750,-0.996381,-0.109811,0.991866,0.064362
53037,-0.349108,-8.810803,0.657204,0.134624,0.113137,-0.972264,-0.210742,-0.036217,0.107647,0.052002,1.272461,0.094238,-0.003445,-0.088103,0.006664,0.999999,-0.001054,-0.000181,0.000538,0.726236,-0.684486,-0.018485,0.060978,-86.423885,3.246347,6.549241,0.991880,0.113874,-0.056629,-0.063264,0.055521,-0.996451,-0.110326,0.991943,0.062274
53038,-0.335322,-8.988426,0.587070,0.171090,0.052448,-0.800648,-0.161406,-0.013497,0.061944,0.058594,1.261963,0.091309,-0.003326,-0.089881,0.005943,1.000000,-0.000807,-0.000067,0.000310,0.725662,-0.685077,-0.018445,0.061183,-86.516743,3.271096,6.560733,0.991833,0.114070,-0.057060,-0.063524,0.053852,-0.996526,-0.110601,0.992012,0.060658
53039,-0.398186,-9.154538,0.586238,0.122344,0.047642,-0.631699,-0.096354,-0.009214,0.024512,0.051025,1.270264,0.091309,-0.003971,-0.091543,0.005906,1.000000,-0.000482,-0.000046,0.000123,0.725318,-0.685430,-0.018414,0.061323,-86.572080,3.287916,6.568359,0.991801,0.114200,-0.057353,-0.063715,0.052851,-0.996568,-0.110777,0.992051,0.059694
53040,-0.475374,-9.196508,0.629251,0.041951,0.086978,-0.582933,-0.071448,0.002071,-0.007394,0.061523,1.260742,0.086914,-0.004757,-0.091963,0.006325,1.000000,-0.000357,0.000010,-0.000037,0.725075,-0.685692,-0.018527,0.061233,-86.614011,3.273747,6.568484,0.991815,0.114204,-0.057107,-0.063389,0.052154,-0.996625,-0.110840,0.992087,0.058966
53041,-0.524538,-9.309530,0.607279,0.000953,0.059628,-0.468828,-0.058752,0.002315,-0.028122,0.062988,1.267090,0.093994,-0.005258,-0.093093,0.006100,1.000000,-0.000294,0.000012,-0.000141,0.724877,-0.685907,-0.018622,0.061145,-86.648287,3.260853,6.567704,0.991829,0.114192,-0.056882,-0.063099,0.051587,-0.996673,-0.110878,0.992118,0.058370
53042,-0.535726,-9.396884,0.626865,-0.012443,0.077424,-0.380019,-0.039543,0.002518,-0.047279,0.058350,1.255371,0.104736,-0.005379,-0.093966,0.006287,1.000000,-0.000198,0.000013,-0.000236,0.724755,-0.686050,-0.018859,0.060913,-86.671964,3.224170,6.566235,0.991868,0.114171,-0.056243,-0.062418,0.051251,-0.996733,-0.110915,0.992138,0.057961
53043,-0.496994,-9.597182,0.615964,0.035176,0.064474,-0.183206,-0.046202,0.006383,-0.049237,0.063232,1.266602,0.093018,-0.004993,-0.095969,0.006182,1.000000,-0.000231,0.000032,-0.000246,0.724607,-0.686218,-0.019008,0.060736,-86.699219,3.199325,6.562436,0.991900,0.114108,-0.055810,-0.061932,0.050833,-0.996785,-0.110904,0.992167,0.057488
53044,-0.486652,-9.722055,0.611912,0.046825,0.058997,-0.059537,-0.042504,0.002847,-0.048709,0.056641,1.260986,0.097168,-0.004890,-0.097218,0.006140,1.000000,-0.000213,0.000014,-0.000244,0.724475,-0.686371,-0.019248,0.060499,-86.724542,3.162115,6.560748,0.991939,0.114083,-0.055161,-0.061239,0.050470,-0.996846,-0.110939,0.992188,0.057049
53045,-0.555819,-9.793161,0.555193,-0.015791,-0.004272,0.011919,-0.057749,-0.006938,-0.045970,0.058594,1.271729,0.093994,-0.005581,-0.097929,0.005580,1.000000,-0.000289,-0.000035,-0.000230,0.724285,-0.686577,-0.019437,0.060379,-86.757985,3.138694,6.564711,0.991953,0.114154,-0.054753,-0.060773,0.049933,-0.996902,-0.111066,0.992207,0.056469
