PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
46759,9.706795,-0.955954,-0.403239,-0.328071,0.856134,-0.093752,0.099478,0.006394,0.145455,-0.722900,-0.088623,0.004639,0.097075,-0.009487,-0.004040,1.000000,0.000497,0.000032,0.000727,0.161920,-0.705546,-0.166677,-0.669481,-174.073925,-87.052065,20.954217,0.048027,0.018392,0.998677,0.452000,-0.892002,-0.005310,0.890724,0.451657,-0.051154
46760,9.479651,-0.856262,-0.197663,-0.104187,0.841567,-0.330234,0.028268,-0.000415,0.171150,-0.714844,-0.084961,0.011963,0.094804,-0.008481,-0.001978,1.000000,0.000141,-0.000002,0.000856,0.162608,-0.705678,-0.166164,-0.669303,-172.135553,-87.038235,19.030597,0.048846,0.016848,0.998664,0.452185,-0.891896,-0.007070,0.890586,0.451926,-0.051184
46761,9.570683,-0.859929,-0.234843,-0.124997,0.812292,-0.235782,-0.009716,-0.007908,0.198271,-0.722168,-0.077148,0.000977,0.095715,-0.008505,-0.002344,1.000000,-0.000049,-0.000040,0.000991,0.163306,-0.705903,-0.165369,-0.669093,-169.762801,-87.012274,16.649919,0.049937,0.014934,0.998641,0.452003,-0.891968,-0.009263,0.890618,0.451851,-0.051292
46762,9.785102,-0.800011,-0.471151,-0.287376,0.637816,-0.008566,-0.031744,-0.008282,0.213791,-0.714600,-0.081055,0.006348,0.097860,-0.007896,-0.004706,0.999999,-0.000159,-0.000041,0.001069,0.163919,-0.706144,-0.164511,-0.668900,-167.476298,-86.981491,14.343176,0.051017,0.013045,0.998613,0.451628,-0.892133,-0.011419,0.890747,0.451584,-0.051406
46763,9.963845,-0.640835,-0.534274,-0.250269,0.448858,0.172810,-0.028077,-0.013056,0.231841,-0.707520,-0.082031,0.012207,0.099646,-0.006294,-0.005335,0.999999,-0.000140,-0.000065,0.001159,0.164662,-0.706427,-0.163537,-0.668658,-164.869055,-86.937924,11.716972,0.052305,0.010848,0.998572,0.451259,-0.892284,-0.013943,0.890859,0.451344,-0.051566
46764,10.112874,-0.405585,-0.419424,-0.021668,0.271731,0.313333,-0.025967,-0.010987,0.241434,-0.702637,-0.081055,0.007568,0.101134,-0.003934,-0.004188,0.999999,-0.000130,-0.000055,0.001207,0.165385,-0.706692,-0.162602,-0.668427,-162.424806,-86.890832,9.255396,0.053532,0.008723,0.998528,0.450915,-0.892416,-0.016378,0.890960,0.451128,-0.051707
46765,10.073612,-0.415432,-0.430046,-0.024362,0.251475,0.275489,-0.042900,-0.001764,0.258006,-0.708008,-0.077637,0.011719,0.100741,-0.004025,-0.004299,0.999999,-0.000215,-0.000009,0.001290,0.166173,-0.706968,-0.161476,-0.668213,-159.688728,-86.836292,6.491416,0.054835,0.006239,0.998476,0.450394,-0.892624,-0.019157,0.891145,0.450758,-0.051757
46766,9.981554,-0.547848,-0.485680,-0.126393,0.320568,0.189745,-0.046080,0.005607,0.265844,-0.712646,-0.070313,0.015869,0.099823,-0.005347,-0.004858,0.999999,-0.000230,0.000028,0.001329,0.166919,-0.707212,-0.160373,-0.668034,-157.128393,-86.780993,3.901788,0.056023,0.003821,0.998422,0.449851,-0.892837,-0.021825,0.891345,0.450364,-0.051738
46767,9.960161,-0.608750,-0.644240,-0.283370,0.277761,0.178955,-0.033535,0.005415,0.269895,-0.707520,-0.071045,-0.001709,0.099610,-0.005954,-0.006444,0.999999,-0.000168,0.000027,0.001349,0.167784,-0.707463,-0.159229,-0.667825,-154.445330,-86.713797,1.195966,0.057311,0.001196,0.998356,0.449399,-0.892989,-0.024728,0.891491,0.450077,-0.051716
46768,9.993012,-0.720923,-0.731348,-0.397091,0.314585,0.220168,-0.016177,-0.000343,0.270534,-0.717041,-0.067871,0.005615,0.099940,-0.007075,-0.007313,0.999999,-0.000081,-0.000002,0.001353,0.168647,-0.707703,-0.158215,-0.667595,-152.050690,-86.641499,-1.210860,0.058570,-0.001238,0.998283,0.449114,-0.893053,-0.027457,0.891553,0.449950,-0.051750
46769,9.933646,-0.637937,-0.759684,-0.374581,0.202385,0.161283,0.010475,-0.013571,0.265272,-0.713623,-0.062256,0.006348,0.099345,-0.006247,-0.007590,0.999999,0.000052,-0.000068,0.001326,0.169638,-0.707974,-0.157249,-0.667285,-149.695353,-86.553074,-3.563511,0.060008,-0.003737,0.998191,0.449049,-0.892992,-0.030338,0.891490,0.450057,-0.051908
