PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
48376,-2.102257,-9.197192,-2.463723,-0.189346,0.181222,-0.065428,-0.009610,0.005124,-0.013653,0.278809,0.569824,0.318848,-0.021029,-0.091972,-0.024632,1.000000,-0.000048,0.000026,-0.000068,0.583142,-0.692740,0.381953,-0.184850,-104.843948,10.915428,-49.331986,0.639885,-0.744775,-0.189360,-0.313600,-0.028115,-0.949139,0.701571,0.666723,-0.251552
48377,-2.141711,-9.178738,-2.411891,-0.184249,0.245694,-0.088539,-0.006397,0.001111,-0.011411,0.281006,0.572510,0.320557,-0.021422,-0.091787,-0.024116,1.000000,-0.000032,0.000006,-0.000057,0.583121,-0.692768,0.381926,-0.184866,-104.845913,10.910765,-49.330457,0.639915,-0.744770,-0.189280,-0.313573,-0.028205,-0.949145,0.701556,0.666725,-0.251589
48378,-2.138419,-9.137504,-2.447915,-0.220034,0.217919,-0.119225,-0.003129,0.002567,-0.012709,0.272949,0.570801,0.321777,-0.021390,-0.091374,-0.024477,1.000000,-0.000016,0.000013,-0.000064,0.583123,-0.692761,0.381937,-0.184861,-104.845887,10.912151,-49.331239,0.639902,-0.744775,-0.189304,-0.313588,-0.028183,-0.949141,0.701561,0.666720,-0.251587
48379,-2.089192,-9.092952,-2.426861,-0.188272,0.194752,-0.176154,-0.004103,0.000672,-0.012154,0.283691,0.563477,0.317139,-0.020898,-0.090929,-0.024267,1.000000,-0.000021,0.000003,-0.000061,0.583111,-0.692784,0.381904,-0.184882,-104.846469,10.907150,-49.329354,0.639937,-0.744767,-0.189218,-0.313541,-0.028263,-0.949154,0.701550,0.666726,-0.251601
48380,-2.134209,-9.121989,-2.430379,-0.210044,0.226732,-0.139180,-0.009339,-0.000737,-0.014035,0.286377,0.575439,0.318848,-0.021348,-0.091220,-0.024300,1.000000,-0.000047,-0.000004,-0.000070,0.583097,-0.692801,0.381907,-0.184857,-104.849638,10.908370,-49.328119,0.639950,-0.744750,-0.189239,-0.313592,-0.028291,-0.949136,0.701515,0.666744,-0.251652
48381,-2.116473,-9.162938,-2.494318,-0.230988,0.172837,-0.087602,-0.004655,-0.003825,-0.010480,0.278076,0.570557,0.322021,-0.021169,-0.091629,-0.024941,1.000000,-0.000023,-0.000019,-0.000052,0.583092,-0.692827,0.381867,-0.184856,-104.850103,10.904965,-49.323953,0.640012,-0.744712,-0.189181,-0.313559,-0.028362,-0.949145,0.701474,0.666783,-0.251663
48382,-2.117904,-9.204384,-2.459145,-0.193665,0.197935,-0.056822,-0.004983,-0.003432,-0.006556,0.283936,0.570557,0.318115,-0.021182,-0.092044,-0.024590,1.000000,-0.000025,-0.000017,-0.000033,0.583106,-0.692819,0.381884,-0.184807,-104.850595,10.910849,-49.322172,0.640022,-0.744677,-0.189281,-0.313628,-0.028304,-0.949124,0.701434,0.666824,-0.251666
48383,-2.093157,-9.182062,-2.448870,-0.177781,0.186157,-0.085289,-0.006052,-0.003118,-0.011042,0.282715,0.566162,0.318359,-0.020936,-0.091820,-0.024486,1.000000,-0.000030,-0.000016,-0.000055,0.583095,-0.692849,0.381845,-0.184808,-104.851920,10.907039,-49.318324,0.640080,-0.744644,-0.189216,-0.313601,-0.028388,-0.949130,0.701393,0.666858,-0.251691
48384,-2.073638,-9.207183,-2.494261,-0.188737,0.141819,-0.053702,-0.006401,0.001114,-0.011408,0.278564,0.571777,0.320557,-0.020742,-0.092071,-0.024940,1.000000,-0.000032,0.000006,-0.000057,0.583091,-0.692850,0.381861,-0.184786,-104.853618,10.909682,-49.318436,0.640073,-0.744638,-0.189261,-0.313650,-0.028374,-0.949115,0.701377,0.666865,-0.251717
48385,-2.084746,-9.231199,-2.473330,-0.173775,0.165589,-0.034091,-0.008622,0.003184,-0.009914,0.281250,0.566406,0.318359,-0.020852,-0.092312,-0.024729,1.000000,-0.000043,0.000016,-0.000050,0.583060,-0.692880,0.381847,-0.184800,-104.857119,10.905580,-49.318315,0.640084,-0.744647,-0.189191,-0.313649,-0.028467,-0.949112,0.701368,0.666851,-0.251779
